trade_date,上证综指,深证成指,沪深300,创业板指,上证50,中证500,中小板指,上证180
2018-08-08,2744.0696,8499.2197,3314.5075,1447.7568,2446.9978,4880.5694,5832.3193,7328.7401
2018-08-09,2794.3818,8752.2013,3397.5298,1497.6063,2504.6172,5004.7733,6036.1398,7492.2413
2018-08-10,2795.3099,8813.4859,3405.0191,1511.7073,2503.2058,5030.5148,6083.432,7495.2873
2018-08-13,2785.872,8844.8574,3390.3441,1531.3404,2478.5086,5055.2753,6127.1606,7448.367
2018-08-14,2780.9646,8784.8999,3372.9137,1518.4912,2469.2002,5037.8831,6066.805,7415.973
2018-08-15,2723.2576,8581.1775,3291.976,1478.5059,2408.7219,4932.8063,5930.6564,7242.5529
2018-08-16,2705.1917,8500.422,3276.7276,1463.8718,2405.1638,4888.3712,5862.1196,7215.3784
2018-08-17,2668.966,8357.0408,3229.6198,1434.3058,2374.1729,4803.0285,5761.1191,7116.3818
2018-08-20,2698.4658,8414.1541,3267.2498,1435.6902,2409.1289,4832.6512,5815.6258,7203.7006
2018-08-21,2733.8264,8549.0623,3326.6489,1456.9724,2452.3833,4891.9801,5917.0014,7326.1697
2018-08-22,2714.6082,8454.7494,3307.9545,1439.5515,2450.1537,4837.0183,5841.988,7301.8518
2018-08-23,2724.6244,8501.3927,3320.0257,1455.5021,2461.0673,4863.6651,5876.3662,7331.6677
2018-08-24,2729.4308,8484.7443,3325.3347,1450.0912,2471.9989,4852.2887,5851.9082,7357.1316
2018-08-27,2780.899,8728.5618,3406.5735,1493.4329,2522.3395,4960.0655,6020.9578,7511.4137
2018-08-28,2777.9808,8733.7471,3400.1705,1493.1057,2511.1452,4974.2072,6022.9596,7493.1013
2018-08-29,2769.2947,8678.2621,3386.5736,1481.1915,2503.4801,4941.9607,5979.9879,7465.7409
2018-08-30,2737.7367,8552.7981,3351.0942,1457.916,2479.2095,4867.1214,5910.9938,7393.9308
2018-08-31,2725.2499,8465.4696,3334.5036,1435.2005,2474.4765,4814.8237,5844.9837,7371.1818
2018-09-03,2720.7344,8455.5459,3321.8248,1443.6877,2465.8797,4838.873,5824.8855,7350.2945
2018-09-04,2750.5804,8554.4366,3363.8984,1455.5027,2500.4376,4890.2806,5910.9783,7443.5829
2018-09-05,2704.3368,8402.5081,3298.1412,1430.2399,2441.2299,4815.0343,5817.042,7290.9437
2018-09-06,2691.5929,8324.1628,3262.8808,1422.8699,2416.0328,4793.3454,5747.9484,7226.4234
2018-09-07,2702.3007,8322.3639,3277.6438,1425.2289,2437.677,4791.7779,5714.392,7276.0717
2018-09-10,2669.4845,8158.4869,3230.0681,1390.8229,2413.4258,4704.8782,5564.238,7186.3819
2018-09-11,2664.7997,8168.1013,3224.2116,1395.1665,2398.7678,4702.9032,5574.2896,7161.1133
2018-09-12,2656.1101,8111.1574,3202.0248,1385.7962,2381.3883,4693.9743,5518.4372,7122.1675
2018-09-13,2686.5784,8163.7596,3236.5662,1391.2791,2415.3115,4721.2121,5555.9623,7206.4073
2018-09-14,2681.6431,8113.8836,3242.0902,1366.5653,2425.4208,4670.0799,5533.3025,7219.5376
2018-09-17,2651.7886,7999.3466,3204.9224,1349.7765,2399.8807,4602.3901,5448.1443,7138.9881
2018-09-18,2699.9501,8133.2174,3269.4319,1377.3027,2458.7677,4683.5056,5542.6998,7299.3344
2018-09-19,2730.8503,8248.1171,3312.4823,1392.4026,2487.0771,4736.8934,5627.7137,7383.6305
2018-09-20,2729.2438,8233.8883,3310.1258,1387.6192,2487.4223,4733.4806,5616.9219,7379.8699
2018-09-21,2797.4848,8409.1787,3410.4856,1411.119,2573.6031,4805.2151,5749.2045,7614.865
2018-09-25,2781.1385,8353.3756,3379.8043,1405.806,2547.7911,4792.5507,5714.5077,7550.7749
2018-09-26,2806.8133,8420.5411,3417.2413,1420.7498,2582.7666,4815.6306,5766.1139,7635.8982
2018-09-27,2791.7748,8334.7505,3403.5902,1400.3593,2575.4485,4755.3803,5702.3308,7614.6261
2018-09-28,2821.3501,8401.0893,3438.8649,1411.3398,2606.6676,4800.7287,5750.77,7699.0155
2018-10-08,2716.5104,8060.8301,3290.8988,1353.6711,2486.8222,4646.4929,5486.8774,7377.6251
2018-10-09,2721.013,8046.3868,3288.6906,1345.9527,2491.6628,4634.8939,5448.1305,7373.6997
2018-10-10,2725.8367,8010.6872,3281.5978,1346.7045,2494.0558,4629.8877,5405.9513,7375.8549
2018-10-11,2583.4575,7524.0925,3124.1139,1261.8831,2390.5025,4307.4208,5069.9354,7037.7268
2018-10-12,2606.9125,7558.277,3170.7262,1268.4055,2444.1305,4278.0353,5099.7119,7145.1571
2018-10-15,2568.0984,7444.4806,3126.4516,1250.2184,2412.4791,4199.1532,5041.8606,7047.03
2018-10-16,2546.3296,7298.9789,3100.9738,1216.6868,2415.492,4099.6831,4930.41,7007.795
2018-10-17,2561.614,7365.2085,3118.2463,1231.8615,2429.2145,4133.3832,4987.3298,7040.7824
2018-10-18,2486.4186,7187.4865,3044.3918,1205.0314,2369.0679,4018.4614,4886.0777,6863.7076
2018-10-19,2550.4652,7387.7419,3134.9455,1249.8896,2446.3196,4127.9854,5009.1406,7075.6546
2018-10-22,2654.8762,7748.8238,3270.2732,1314.9449,2540.1521,4333.1445,5263.8226,7365.9748
2018-10-23,2594.8255,7574.9855,3183.4257,1292.0559,2464.8117,4253.5561,5114.4215,7169.9227
2018-10-24,2603.2951,7545.113,3188.2018,1284.1023,2477.4883,4245.4884,5077.5342,7202.9881
2018-10-25,2603.7995,7529.4079,3194.3084,1273.6029,2485.0987,4234.4208,5056.9249,7226.2484
2018-10-26,2598.8468,7504.7159,3173.635,1263.1881,2468.9096,4233.9585,5027.1476,7176.0096
2018-10-29,2542.1033,7322.2364,3076.8889,1250.4796,2389.5766,4162.5255,4909.6208,6966.3032
2018-10-30,2568.0481,7375.2296,3110.2605,1259.948,2415.6485,4204.5424,4923.8044,7053.0406
2018-10-31,2602.7832,7482.8302,3153.8234,1275.5743,2451.1207,4272.5518,4999.8316,7150.1995
2018-11-01,2606.2372,7567.7947,3177.0338,1286.3265,2460.1619,4298.9837,5077.8549,7179.416
2018-11-02,2676.4762,7867.5436,3290.2455,1348.2794,2542.768,4437.9456,5317.608,7414.903
2018-11-05,2665.4306,7839.0811,3262.8351,1348.8759,2511.5897,4440.8274,5289.0885,7350.7021
2018-11-06,2659.3564,7791.2453,3243.1504,1349.1087,2499.6793,4438.0965,5210.32,7317.0013
2018-11-07,2641.342,7752.0442,3221.9101,1345.7678,2482.3343,4415.136,5166.3634,7268.7548
2018-11-08,2635.6322,7698.0181,3212.7737,1329.5909,2485.9978,4382.3286,5118.1834,7256.894
2018-11-09,2598.8715,7648.5459,3167.4442,1322.8308,2434.212,4368.6143,5089.8415,7136.1559
2018-11-12,2630.5195,7832.2857,3205.1407,1368.7907,2444.9673,4481.6881,5220.3554,7198.2131
2018-11-13,2654.8795,7963.6596,3237.3823,1392.0549,2462.9726,4563.5351,5292.3628,7260.1817
2018-11-14,2632.2425,7908.5466,3204.9427,1385.7324,2429.9857,4545.5089,5243.476,7186.2647
