trade_date,close,open,北向资金
2017-03-21,3466.3468,3449.7696,993.2
2017-03-22,3450.0502,3450.7544,653.22
2017-03-23,3461.9782,3452.4056,1802.83
2017-03-24,3489.5997,3464.1966,1823.0
2017-03-27,3478.0385,3488.7647,377.05
2017-03-28,3469.8093,3480.249,940.59
2017-03-29,3465.1933,3472.9665,330.69
2017-03-30,3436.758,3461.6159,1271.85
2017-03-31,3456.0455,3434.8222,-127.0
2017-04-05,3503.8932,3476.4231,1834.99
2017-04-06,3514.0469,3507.9879,148.9
2017-04-07,3517.4634,3514.4521,647.0
2017-04-10,3505.1392,3519.4597,945.06
2017-04-11,3517.328,3503.8294,-362.9
2017-04-12,3509.4387,3514.5723,-195.48
2017-04-13,3514.5662,3500.2838,0.0
2017-04-18,3462.7429,3474.8892,121.75
2017-04-19,3445.8761,3452.9904,1225.86
2017-04-20,3461.5481,3444.5225,1749.17
2017-04-21,3466.7865,3461.389,731.0
2017-04-24,3431.2587,3458.2279,466.96
2017-04-25,3440.9743,3427.7322,1591.39
2017-04-26,3445.1832,3440.2526,1146.26
2017-04-27,3446.7202,3435.1017,903.7
2017-04-28,3439.753,3439.5735,1767.0
2017-05-02,3426.5766,3427.9169,0.0
2017-05-04,3404.3864,3404.9379,1178.02
2017-05-05,3382.5502,3393.4831,-197.0
2017-05-08,3358.8125,3369.1084,316.77
2017-05-09,3352.5324,3342.5981,2285.17
2017-05-10,3337.7007,3350.6502,2282.39
2017-05-11,3356.6459,3322.9455,2367.22
2017-05-12,3385.3787,3350.9371,289.0
2017-05-15,3399.1937,3391.5881,1756.91
2017-05-16,3428.6491,3390.925,3162.11
2017-05-17,3409.9656,3423.19,1554.63
2017-05-18,3398.1127,3387.6655,1010.83
2017-05-19,3403.8492,3395.2318,1371.0
2017-05-22,3411.2387,3400.5882,644.73
2017-05-23,3424.194,3405.0254,390.11
2017-05-24,3424.1669,3409.7169,1195.77
2017-05-25,3485.6581,3414.3992,1674.49
2017-05-26,3480.4345,3479.6206,44.0
2017-05-31,3492.8845,3495.073,-1545.26
2017-06-01,3497.7382,3485.2223,-1606.26
2017-06-02,3486.5074,3491.5893,1730.0
2017-06-05,3468.7538,3480.1692,1887.97
2017-06-06,3492.8816,3464.3765,2125.97
2017-06-07,3533.8718,3493.8846,2381.51
2017-06-08,3560.9786,3531.2419,2421.16
2017-06-09,3576.1703,3561.2411,1467.0
2017-06-12,3574.3894,3570.2191,-921.5
2017-06-13,3582.2674,3569.1594,600.88
2017-06-14,3535.2987,3571.2483,-1264.78
2017-06-15,3528.7926,3530.7465,2303.44
2017-06-16,3518.7611,3522.9745,1142.0
2017-06-19,3553.6653,3520.0602,2398.09
2017-06-20,3546.494,3560.7871,401.72
2017-06-21,3587.955,3567.1256,1527.76
2017-06-22,3590.3425,3583.5583,1770.37
